"","Region_and_State","Year_2015","Year_2016","Year_2017","Year_2018","Year_2019","Change"
"1","Northeast  ",5190,5270,5380,5550,5690,2.5
"2","Connecticut  ",11700,11900,12100,12300,12200,-0.8
"3","Delaware  ",8110,8290,8250,8410,8950,6.4
"4","Maine  ",2170,2210,2370,2370,2410,1.7
"5","Maryland  ",7270,7470,7620,7860,8060,2.5
"6","Massachusetts  ",10600,10700,10800,10900,11100,1.8
"7","New Hampshire  ",4450,4610,4860,4900,4980,1.6
"8","New Jersey  ",13300,13300,13400,13500,13500,NA
"9","New York  ",3090,3110,3160,3230,3250,0.6
"10","Pennsylvania ",5710,5820,6030,6250,6470,3.5
"11","Rhode Island  ",14300,14600,14900,15200,15600,2.6
"12","Vermont  ",3350,3400,3470,3540,3630,2.5
"13","Lake States  ",4740,4730,4880,4890,4900,0.2
"14","Michigan  ",4970,4900,4940,4960,4960,NA
"15","Minnesota  ",4760,4790,4870,4850,4840,-0.2
"16","Wisconsin  ",4550,4520,4870,4900,4950,1
"17","Corn Belt  ",6220,6100,5990,6110,6100,-0.2
"18","Illinois  ",7430,7300,7160,7280,7280,NA
"19","Indiana  ",6930,6830,6580,6580,6580,NA
"20","Iowa  ",7670,7370,7350,7270,7190,-1.1
"21","Missouri  ",3230,3220,3120,3380,3400,0.6
"22","Ohio  ",5930,5970,6010,6200,6290,1.5
"23","Northern Plains  ",2320,2200,2150,2110,2170,2.8
"24","Kansas  ",2050,1910,1890,1850,1960,5.9
"25","Nebraska  ",3010,2890,2820,2750,2850,3.6
"26","North Dakota  ",1870,1750,1740,1710,1740,1.8
"27","South Dakota  ",2280,2190,2100,2070,2070,NA
"28","Appalachian  ",3810,3880,3970,4030,4080,1.2
"29","Kentucky  ",3370,3540,3680,3770,3820,1.3
"30","North Carolina  ",4560,4550,4580,4640,4680,0.9
"31","Tennessee  ",3690,3770,3840,3920,3990,1.8
"32","Virginia  ",4440,4470,4590,4620,4650,0.6
"33","West Virginia  ",2630,2620,2640,2650,2680,1.1
"34","Southeast  ",3740,3830,3990,4050,4090,1
"35","Alabama  ",2710,2820,2910,2980,3100,4
"36","Florida  ",5480,5510,5860,5900,5950,0.8
"37","Georgia  ",3270,3410,3560,3510,3470,-1.1
"38","South Carolina  ",3130,3180,3240,3310,3400,2.7
"39","Delta States  ",2790,2830,2920,3000,3100,3.3
"40","Arkansas  ",3020,3000,3110,3160,3320,5.1
"41","Louisiana  ",2780,2870,2960,3040,3120,2.6
"42","Mississippi  ",2500,2590,2660,2740,2800,2.2
"43","Southern Plains  ",1810,1810,1880,2000,2070,3.5
"44","Oklahoma  ",1630,1690,1750,1800,1870,3.9
"45","Texas ",1860,1840,1920,2050,2120,3.4
"46","Mountain ",1130,1140,1170,1200,1220,1.7
"47","Arizona 1  ",3620,3570,3770,3780,3800,0.5
"48","Colorado  ",1500,1500,1540,1560,1570,0.6
"49","Idaho  ",2530,2590,2730,2870,3000,4.5
"50","Montana  ",888,898,917,916,915,-0.1
"51","Nevada 1  ",1080,1040,1020,1020,1020,NA
"52","New Mexico 1  ",523,540,558,565,570,0.9
"53","Utah 1  ",2130,2160,2230,2310,2420,4.8
"54","Wyoming  ",686,699,712,726,740,1.9
"55","Pacific  ",4800,4960,5440,5610,5900,5.2
"56","California  ",7820,8080,8970,9350,10000,7
"57","Oregon  ",2140,2240,2360,2430,2500,2.9
"58","Washington ",2590,2680,2760,2840,2820,-0.7
"59","United States 2  ",3000,2990,3030,3100,3160,1.9
